 23 3594.021257 2.866E-30 9.056E+00.06630.076 3923.66220.74-.004829       3 1 1 13       2 1 1 03                    P 46e     3665632432 9 9 711    91.0   93.0
 21 3594.056839 3.940E-30 3.179E-07.07590.103 1367.40260.68-.003299       2 3 3 01       1 0 0 02                    P 14e     3666632429 9 9 711    27.0   29.0
 12 3594.061422 1.708E-23 2.387E+00.10340.462   78.98860.76-.008984          1 0 0          0 0 0  1  0  1        2  1  2      587777805910162545     9.0   15.0
 23 3594.066364 2.394E-29 8.958E-04.07090.094 1462.58660.72-.003885       1 2 2 12       1 0 0 02                    R 23e     3666632432 9 9 711    49.0   47.0
 24 3594.075583 1.272E-30 1.003E+01.06370.070 3819.92490.72-.005130       3 0 0 13       2 0 0 03                    P 58e     3655532432 9 9 711   690.0  702.0
 11 3594.083910 1.300E-26 3.355E-03.04710.281 1695.06860.47-.012620          0 0 1          0 0 0 12  1 12       11  3  9      464223307260713049    25.0   23.0
 22 3594.085377 1.280E-27 9.363E+00.06850.086 2971.44350.74-.004505       2 2 2 12       1 2 2 02                    P 33f     3666632431 9 9 711   130.0  134.0
 24 3594.090984 4.139E-28 8.032E+00.06400.070 2583.99490.72-.005495       2 0 0 12       1 0 0 01                    R 56e     4755532432 9 9 711   690.0  678.0
 12 3594.091972 1.189E-28 1.198E-01.07800.265 2099.56230.720.008250          0 0 1          0 0 0 11  5  6       12  3  9      534243807360713049    23.0   25.0
 23 3594.095669 1.550E-30 7.944E-05.07250.097 1480.34090.71-.004240       0 4 4 11       0 2 2 01                    P 20f     3366632430 9 9 711    39.0   41.0
 23 3594.096179 1.550E-30 7.944E-05.07250.097 1480.34040.71-.004240       0 4 4 11       0 2 2 01                    P 20e     3366632430 9 9 711    39.0   41.0
 21 3594.101020 5.170E-30 1.499E+01.05610.064 5316.42600.65-.005695       3 0 0 12       2 0 0 02                    P 82e     3655532429 9 9 711   163.0  165.0
 23 3594.106823 2.288E-30 1.136E-04.07120.095 1512.11280.72-.003736       2 0 0 12       0 2 2 01                    R 22e     3666632432 9 9 711    47.0   45.0
 11 3594.107530 8.839E-27 9.318E-04.07110.315 1474.98080.67-.019310          1 0 0          0 0 0 10  2  8        9  5  5      534223807360713049    21.0   19.0
 22 3594.110434 2.040E-26 1.631E+01.06810.084 2528.35540.74-.004554       2 1 1 11       1 1 1 01                    P 35e     3666632431 9 9 711   138.0  142.0
 21 3594.110913 4.173E-30 9.994E-03.07020.092 3616.88810.73-.003414       2 6 6 01       0 5 5 01                    P 26f     3666632429 9 9 711    51.0   53.0
 11 3594.126994 2.123E-28 3.434E+01.01350.235 4697.66030.06-.014990          0 0 1          0 0 0 14 13  1       14 13  2      334233807260713049    87.0   87.0
 11 3594.126994 7.078E-29 3.434E+01.01350.235 4697.66030.06-.014990          0 0 1          0 0 0 14 13  2       14 13  1      334233807260713049    29.0   29.0
 22 3594.127020 3.540E-30 1.657E-02.07160.095 2794.52720.71-.003323       3 3 3 01       0 4 4 01                    P 22e     3666632431 9 9 711    86.0   90.0
 21 3594.136599 3.054E-29 4.344E-04.07300.098 2496.23730.70-.004217       0 2 2 21       0 0 0 11                    P 19e     3666632429 9 9 711    37.0   39.0
 22 3594.138206 1.050E-29 2.033E-01.07660.104 2990.90310.68-.003500       1 1 1 21       0 1 1 11                    Q 13f     3666632431 9 9 711    54.0   54.0
 22 3594.145462 7.250E-30 1.360E-01.07460.101 3025.67710.69-.003675       1 1 1 21       0 1 1 11                    Q 16e     3666632431 9 9 711    66.0   66.0
